Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Ivory Coast,Sub-Saharan Africa,2019,4.944,0.569,0.8080000000000000,0.23200000000000000,0.35200000000000000,0.154,0.09,8.272005081,0.67938602,50.09999847,0.735711992,-0.002644255,0.7992712260000000,0.609362841,0.42,0.637878835
Jamaica,Latin America and Caribbean,2019,5.89,0.831,1.4780000000000000,0.831,0.49,0.107,0.028000000000000000,,,,,,,,,
Japan,East Asia,2019,5.886,1.327,1.419,1.088,0.445,0.069,0.14,10.59099102,0.877650917,75.09999847,0.806471527,-0.260973722,0.617187858,0.411213636,0.321,0.417219579
Jordan,Middle East and North Africa,2019,4.906000000000000,0.8370000000000000,1.225,0.815,0.38300000000000000,0.11,0.13,9.029040337,0.792559683,67.0,0.725755811,-0.159702167,,,0.34300000000000000,0.36961790900000000
Kazakhstan,Commonwealth of Independent States,2019,5.809,1.173,1.508,0.7290000000000000,0.41,0.146,0.096,10.13764191,0.9510501030000000,65.19999695,0.852387428,-0.060710855,0.708279192,0.6717934610000000,0.301705882,0.33793005300000000
Kenya,Sub-Saharan Africa,2019,4.5090000000000000,0.512,0.983,0.581,0.431,0.37200000000000000,0.053,8.064778328,0.6759316330000000,60.70000076,0.8177574870000000,0.3261531,0.794370294,0.6838563680000000,0.4365,0.600867748
Kosovo,Central and Eastern Europe,2019,6.1,0.882,1.232,0.758,0.489,0.262,0.006,,0.842511177,,0.841189623,,0.920297265,0.308195412,0.290166667,0.424229652
Kuwait,Middle East and North Africa,2019,6.021,1.5,1.319,0.8080000000000000,0.493,0.142,0.09700000000000000,11.08600998,0.8415197730000000,66.90000153,0.867273808,-0.133299217,,,,0.59482789
Kyrgyzstan,Commonwealth of Independent States,2019,5.261,0.551,1.4380000000000000,0.723,0.508,0.3,0.023,8.169000626,0.8770278690000000,64.40000153,0.9204362630000000,0.019946102,0.884539902,0.507123172,0.302388889,0.35996401300000000
Laos,Southeast Asia,2019,4.796,0.764,1.03,0.551,0.547,0.266,0.16400000000000000,8.846188545,0.7294439080000000,59.09999847,0.90615344,0.062617511,0.620233715,,0.348,0.5337859390000000
Latvia,Central and Eastern Europe,2019,5.94,1.187,1.465,0.812,0.264,0.075,0.064,10.21268845,0.9355012770000000,67.09999847,0.697935104,-0.193924636,0.7892274860000000,0.23940767300000000,0.360333333,0.29044103600000000
Lebanon,Middle East and North Africa,2019,5.197,0.987,1.224,0.815,0.21600000000000000,0.166,0.027000000000000000,9.362933159000000,0.865968525,67.59999847,0.44700148700000000,-0.07203564,0.890415609,0.154975414,0.318,0.306490511
Lesotho,Sub-Saharan Africa,2019,3.802,0.489,1.169,0.168,0.359,0.107,0.09300000000000000,7.967275143000000,0.7897053960000000,48.70000076,0.7163135410000000,-0.139301702,0.9149514440000000,0.310273737,0.529,0.59956187
Liberia,Sub-Saharan Africa,2019,3.975,0.073,0.922,0.44300000000000000,0.37,0.233,0.033,7.036141872000000,0.71247375,56.90000153,0.705874562,0.062292136,0.828468978,0.553626955,0.35,0.64564842
Libya,Middle East and North Africa,2019,5.525,1.044,1.3030000000000000,0.6730000000000000,0.41600000000000000,0.133,0.152,,0.826719344,62.29999924,0.7619643210000000,,0.68641299,,,0.5296263690000000
Lithuania,Central and Eastern Europe,2019,6.149,1.238,1.515,0.818,0.29100000000000000,0.043,0.042,10.39281178,0.917577505,67.90000153,0.7802664640000000,-0.2515423,0.782501221,0.407248467,0.355,0.39863598300000000
Luxembourg,Western Europe,2019,7.09,1.609,1.479,1.012,0.526,0.19400000000000000,0.316,11.46207047,0.912104547,72.59999847,0.930321217,-0.042187132,0.38959842900000000,0.780171037,0.316076923,0.36206916
Macedonia,Central and Eastern Europe,2019,5.274,0.983,1.294,0.838,0.345,0.185,0.034,9.537356377,0.814638495,67.69999695,0.724710405,0.028973185,0.9225972290000000,0.26598867800000000,0.382142857,0.355384529
Madagascar,Sub-Saharan Africa,2019,3.9330000000000000,0.27400000000000000,0.9160000000000000,0.555,0.14800000000000000,0.16900000000000000,0.041000000000000000,7.305739403,0.700610101,59.5,0.549535215,-0.010226985,0.7199826840000000,0.6600911620000000,0.43075,0.549187005
