Country,Region indicator,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,"Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Perceptions of corruption, 2015-2017"
Sierra Leone,Sub-Saharan Africa,2018,4.571000000000000,0.256,0.813,0.0,0.355,0.23800000000000000,0.053,7.219619751000000,1365.969604,43.99452591,0.6378568410000000,0.6729369160000000,0.23596997600000000,0.848775864
Congo (Brazzaville),Sub-Saharan Africa,2018,4.559,0.682,0.8110000000000000,0.34300000000000000,0.514,0.091,0.077,8.586006165,5356.179199,54.78947067,0.6368609670000000,0.806351066,0.11214879900000000,0.8039594290000000
Bangladesh,South Asia,2018,4.5,0.532,0.85,0.579,0.58,0.153,0.14400000000000000,8.106625557000000,3316.368164,62.20355988,0.652717888,0.8617357610000000,0.170758501,0.6811941860000000
Sri Lanka,South Asia,2018,4.471,0.9180000000000000,1.314,0.672,0.585,0.307,0.05,9.34476757,11438.813480000000,65.14221191,0.842643261,0.8663566110000000,0.514083564,0.854016483
Iraq,Middle East and North Africa,2018,4.456,1.01,0.971,0.536,0.304,0.14800000000000000,0.095,9.640294075,15371.863280000000,60.8644371,0.702425718,0.629619598,0.27883327,0.7720163460000000
Mali,Sub-Saharan Africa,2018,4.447,0.37,1.2330000000000000,0.152,0.36700000000000000,0.139,0.056000000000000000,7.584618568,1967.695923,48.77823639,0.80947119,0.683123887,0.111183062,0.843466878
Namibia,Sub-Saharan Africa,2018,4.441,0.8740000000000000,1.281,0.365,0.519,0.051,0.064,9.203362465,9930.463867,55.49542618,0.829156399,0.8109794860000000,0.098181263,0.828175962
Cambodia,Southeast Asia,2018,4.433,0.5490000000000000,1.088,0.457,0.696,0.256,0.065,8.159075737,3494.9548340000000,58.37112808,0.750254333,0.959941328,0.336479425,0.8268034460000000
Burkina Faso,Sub-Saharan Africa,2018,4.4240000000000000,0.314,1.097,0.254,0.312,0.175,0.128,7.404325962000000,1643.077026,51.99110031,0.753720284,0.6363075970000000,0.15245787800000000,0.710499942
Egypt,Middle East and North Africa,2018,4.419,0.885,1.025,0.5530000000000000,0.312,0.092,0.107,9.240495682,10306.14551,61.41292572,0.724412739,0.636678874,0.164250925,0.7498444320000000
Mozambique,Sub-Saharan Africa,2018,4.417,0.198,0.902,0.17300000000000000,0.531,0.20600000000000000,0.158,7.032855511,1133.262085,49.42869949,0.67410183,0.8207151890000000,0.16833351600000000,0.654548347
Kenya,Sub-Saharan Africa,2018,4.41,0.493,1.048,0.45400000000000000,0.504,0.35200000000000000,0.055,7.980463028,2923.284424,58.29691315,0.73378247,0.797864199,0.46963051,0.8448738460000000
Zambia,Sub-Saharan Africa,2018,4.377,0.562,1.047,0.295,0.503,0.221,0.08200000000000000,8.203147888,3652.429688,53.26426315,0.7335602640000000,0.796939313,0.283819616,0.795381129
Mauritania,Sub-Saharan Africa,2018,4.356,0.557,1.245,0.292,0.129,0.134,0.09300000000000000,8.185921669000000,3590.051025,53.18614578,0.814312577,0.48229000000000000,0.147491634,0.774384141
Ethiopia,Sub-Saharan Africa,2018,4.35,0.308,0.95,0.391,0.452,0.22,0.146,7.385899067,1613.077393,56.29846573,0.693872035,0.754294395,0.220371321,0.677075565
Georgia,Commonwealth of Independent States,2018,4.34,0.853,0.5920000000000000,0.643,0.375,0.038,0.215,9.137402534,9296.585938,64.21975708,0.5474483370000000,0.68998462,0.07200601,0.55025655
Armenia,Commonwealth of Independent States,2018,4.321000000000000,0.816,0.99,0.6660000000000000,0.26,0.077,0.028000000000000000,9.018901825,8257.704102,64.96247864,0.710184693,0.592957973,0.122583561,0.8956249360000000
Myanmar,Southeast Asia,2018,4.308,0.682,1.1740000000000000,0.429,0.58,0.598,0.17800000000000000,8.587717056,5365.351074,57.50941849,0.785158336,0.861743927,0.899886489,0.617967665
Chad,Sub-Saharan Africa,2018,4.301,0.358,0.907,0.053,0.18900000000000000,0.18100000000000000,0.06,7.546162128,1893.461914,45.65771484,0.676192522,0.5330722930000000,0.171422482,0.835992634
