Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Confidence in national government,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Mauritius,Sub-Saharan Africa,2017,5.629,1.189,1.21,0.638,0.491,0.361,0.042,9.914654732,0.910142243,65.5891571,0.9123075010000000,0.073929414,0.818179905,0.7477601770000000,0.614670753,0.3575,0.415626824
Mexico,Latin America and Caribbean,2017,6.578000000000000,1.153,1.2110000000000000,0.71,0.413,0.121,0.133,9.741969109,0.7998393770000000,68.09822845,0.8614051340000000,-0.206639215,0.8008930680000000,0.842642307,0.25695315,0.48475,0.438771129
Moldova,Commonwealth of Independent States,2017,5.838000000000000,0.7290000000000000,1.252,0.589,0.24100000000000000,0.209,0.01,8.545788765,0.83076793,63.70124435,0.552825212,-0.003178872,0.926333785,0.5814887880000000,0.132729635,0.3299375,0.433169961
Mongolia,East Asia,2017,4.955,1.0270000000000000,1.493,0.5580000000000000,0.39400000000000000,0.33800000000000000,0.033,9.318548203000000,0.924250782,62.31261063,0.674627423,0.10645134700000000,0.8649522070000000,0.675165296,0.275058359,0.33583333300000000,0.38935151700000000
Montenegro,Central and Eastern Europe,2017,5.237,1.121,1.238,0.667,0.195,0.198,0.08800000000000000,9.694497108,0.881199837,67.14218903,0.625906289,-0.08489078300000000,0.755680025,0.519128144,0.351549894,0.3093,0.352438509
Morocco,Middle East and North Africa,2017,5.235,0.878,0.775,0.598,0.408,0.032,0.08800000000000000,8.915043831,0.6411930920000000,65.33885956,0.814258039,-0.227919385,0.8405024410000000,0.559288204,,0.4065,0.527966917
Mozambique,Sub-Saharan Africa,2017,4.55,0.23400000000000000,0.871,0.107,0.48100000000000000,0.322,0.179,7.0465774540000000,0.678463697,49.9577446,0.8226705190000000,-0.021502597000000000,0.682108939,0.648381412,0.7592343690000000,0.46300000000000000,0.608845353
Myanmar,Southeast Asia,2017,4.545,0.36700000000000000,1.123,0.39800000000000000,0.514,0.838,0.18900000000000000,8.634504318,0.7951838370000000,57.64122009,0.886011839,0.62870574,0.6188215020000000,0.74564749,0.82417655,0.381,0.424162179
Namibia,Sub-Saharan Africa,2017,4.574,0.9640000000000000,1.0980000000000000,0.33900000000000000,0.52,0.077,0.09300000000000000,9.203362465,0.82833904,55.49542618,0.810401857,-0.20176585,0.8313028810000000,0.72067821,0.7458536030000000,0.6215,0.602735937
Nepal,South Asia,2017,4.962,0.48,1.179,0.504,0.44,0.39400000000000000,0.073,7.801309109,0.816383302,61.26595688,0.84514761,0.14651113700000000,0.770177126,0.570577025,0.559578538,0.38300000000000000,0.463746637
